etax_id	invoice_name	invoice_origin	deposit	amount_untaxed	sent_tax_basis	should_tax_basis
13777	IV260600002	SO-26060007	1500	1500.00	0.00	1500.00
13778	IV260600003	SO-26060009	1495.33	1495.33	0.00	1495.33
13781	IV260600004	SO-26060008	1300.93	1300.93	0.00	1300.93
13782	IV260600005	SO-26060006	390.65	390.65	0.00	390.65
13784	IV260600007	SO-26050619	306.53999999999996	306.54	0.00	306.54
13787	IV260600008	SO-26060046	25023	25023.00	0.00	25023.00
13789	IV260600010	SO-0237975	50967.5	50967.50	0.00	50967.50
13790	IV260600011	SO-26060001	1786.92	1786.92	0.00	1786.92
13791	IV260600012	SO-26050627	45.8	886.92	841.12	886.92
13792	IV260600013	SO-26050639	1289.72	1289.72	0.00	1289.72
13793	IV260600014	SO-26050636	1188.79	1188.79	0.00	1188.79
13795	IV260600016	SO-26050615	738.32	738.32	0.00	738.32
13796	IV260600017	SO-26050626	738.32	738.32	0.00	738.32
13797	IV260600018	SO-26050629	1769.16	1769.16	0.00	1769.16
13798	IV260600019	SO-26060053	971.03	971.03	0.00	971.03
13799	IV260600020	SO-26060002	738.32	738.32	0.00	738.32
13800	IV260600021	SO-26060042	13591	13591.00	0.00	13591.00
13801	IV260600022	SO-26060054	1434.5800000000002	1434.58	0.00	1434.58
13802	IV260600023	SO-26060026	17541.58	17541.58	0.00	17541.58
13803	IV260600024	SO-26060025	2502.05	2502.05	0.00	2502.05
13804	IV260600025	SO-26060022	14631.560000000001	14631.56	0.00	14631.56
13805	IV260600026	SO-26060020	37449.24	37449.24	0.00	37449.24
13806	IV260600027	SO-26060019	17976.7	17976.70	0.00	17976.70
13807	IV260600028	SO-26060017	4072.64	4072.64	0.00	4072.64
13808	IV260600029	SO-26060016	4011.44	4011.44	0.00	4011.44
13809	IV260600030	SO-26060015	24435.84	24435.84	0.00	24435.84
13810	IV260600031	SO-26060014	3222.78	3222.78	0.00	3222.78
13811	IV260600032	SO-26060013	1060.65	1060.65	0.00	1060.65
13812	IV260600033	SO-26060011	2032.92	2032.92	0.00	2032.92
13813	IV260600034	SO-26060041	1556.99	1556.99	0.00	1556.99
13814	IV260600035	SO-26060051	6785.48	6785.48	0.00	6785.48
13815	IV260600036	SO-26060040	1556.99	1556.99	0.00	1556.99
13816	IV260600037	SO-26060032	1098.13	1098.13	0.00	1098.13
13817	IV260600038	SO-26060033	3023.36	3023.36	0.00	3023.36
13818	IV260600039	SO-26060012	1056.08	1056.08	0.00	1056.08
13819	IV260600040	SO-26060029	841.12	841.12	0.00	841.12
13820	IV260600041	SO-26050628	1322.43	1322.43	0.00	1322.43
13821	IV260600042	SO-26050634	2612.14	2612.14	0.00	2612.14
13822	IV260600043	SO-26050638	559.81	559.81	0.00	559.81
13823	IV260600044	SO-26050637	1868.22	1868.22	0.00	1868.22
13824	IV260600045	SO-26060004	8079.4400000000005	8079.44	0.00	8079.44
13825	IV260600046	SO-26050631	7000	7000.00	0.00	7000.00
13826	IV260600047	SO-26060048	531.78	531.78	0.00	531.78
13827	IV260600048	SO-26060050	1434.5800000000002	1434.58	0.00	1434.58
13828	IV260600049	SO-26060018	1859.8100000000002	1859.81	0.00	1859.81
13829	IV260600050	SO-26060047	971.03	971.03	0.00	971.03
13830	IV260600051	SO-26060049	327.09999999999997	327.10	0.00	327.10
13831	IV260600052	SO-26060030	233.64999999999998	233.65	0.00	233.65
13833	IV260600054	SO-26060043	12989.1	12989.10	0.00	12989.10
13834	IV260600055	SO-26060068	957.94	957.94	0.00	957.94
13836	IV260600057	SO-26060069	598.13	598.13	0.00	598.13
13837	IV260600058	SO-26060064	2560.75	2560.75	0.00	2560.75
13838	IV260600059	SO-26060061	466.36	466.36	0.00	466.36
13839	IV260600060	SO-26060063	1859.81	1859.81	0.00	1859.81
13842	IV260600063	SO-26060031	32841.5	32841.50	0.00	32841.50
13843	IV260600064	SO-26060067	63300	63300.00	0.00	63300.00
13845	IV260600066	SO-26060035	8116.82	8116.82	0.00	8116.82
13846	IV260600067	SO-26060044	1712.15	1712.15	0.00	1712.15
13856	IV260600070	SO-26060074	467.29	467.29	0.00	467.29
13857	IV260600071	SO-0240563	14155	14155.00	0.00	14155.00
13920	IV260600072	SO-26060114	11295.5	11295.50	0.00	11295.50
13978	IV260600073	SO-26060060	2393.28	2393.28	0.00	2393.28
13979	IV260600074	SO-26060058	1013.06	1013.06	0.00	1013.06
13980	IV260600075	SO-26060057	3929.86	3929.86	0.00	3929.86
13981	IV260600076	SO-26060055	1196.64	1196.64	0.00	1196.64
13982	IV260600077	SO-26060124	522.73	522.73	0.00	522.73
13984	IV260600079	SO-26060130	1588.79	1588.79	0.00	1588.79
13985	IV260600080	SO-26060133	4112.15	4112.15	0.00	4112.15
13986	IV260600081	SO-26060131	999.0699999999999	999.07	0.00	999.07
13988	IV260600083	SO-26060065	3995.33	3995.33	0.00	3995.33
13992	IV260600087	SO-26060097	3205.6	3205.60	0.00	3205.60
13993	IV260600088	SO-26060129	1015.89	1015.89	0.00	1015.89
13994	IV260600089	SO-26060127	914.9499999999999	914.95	0.00	914.95
13995	IV260600090	SO-26060126	559.81	559.81	0.00	559.81
13996	IV260600091	SO-26060125	3242.9900000000002	3242.99	0.00	3242.99
13997	IV260600092	SO-26060117	1588.78	1588.78	0.00	1588.78
13999	IV260600094	SO-26060107	35588.79	35588.79	0.00	35588.79
14000	IV260600095	SO-26060120	1738.32	1738.32	0.00	1738.32
14001	IV260600096	SO-26060123	121.5	121.50	0.00	121.50
14002	IV260600097	SO-26060100	299.07	299.07	0.00	299.07
14003	IV260600098	SO-26060101	2406.54	2406.54	0.00	2406.54
14004	IV260600099	SO-26050625	4757.01	4757.01	0.00	4757.01
14005	IV260600100	SO-26060085	738.32	738.32	0.00	738.32
14006	IV260600101	SO-26060087	45.8	231.78	185.98	231.78
14007	IV260600102	SO-26060083	1205.6100000000001	1205.61	0.00	1205.61
14008	IV260600103	SO-26060086	7079.4400000000005	7079.44	0.00	7079.44
14009	IV260600104	SO-26060088	597.1999999999999	597.20	0.00	597.20
14010	IV260600105	SO-26060102	1206.54	1206.54	0.00	1206.54
14179	IV260600107	SO-26060104	44050.33	44050.33	0.00	44050.33
14181	IV260600108	SO-26060098	44050.33	44050.33	0.00	44050.33
14183	IV260600109	SO-26060082	29172.56	29172.56	0.00	29172.56
14184	IV260600110	SO-26060003	44456.86	44456.86	0.00	44456.86
14187	IV260600111	SO-0238092	18137.2	18137.20	0.00	18137.20
14188	IV260600112	SO-26060076	24473.3	24473.30	0.00	24473.30
14206	IV260600113	SO-26060150	1233.64	1233.64	0.00	1233.64
14207	IV260600114	SO-26060119	20261.2	20261.20	0.00	20261.20
14208	IV260600115	SO-26060121	2311.68	2311.68	0.00	2311.68
14209	IV260600116	SO-26060147	3732.69	3732.69	0.00	3732.69
14210	IV260600117	SO-26060148	26448.36	26448.36	0.00	26448.36
14211	IV260600118	SO-26060151	98491.25	98491.25	0.00	98491.25
14212	IV260600119	SO-26060149	5425.66	5425.66	0.00	5425.66
14213	IV260600120	SO-26060111	1896.94	1896.94	0.00	1896.94
14214	IV260600121	SO-26060062	4276.6	4276.60	0.00	4276.60
14215	IV260600122	SO-26060110	673.1	673.10	0.00	673.10
14216	IV260600123	SO-0239929	9850	9850.00	0.00	9850.00
14218	IV260600125	SO-26060176	510	510.00	0.00	510.00
14220	IV260600127	SO-26060159	63903	63903.00	0.00	63903.00
14221	IV260600128	SO-26060108	3710.2799999999997	3710.28	0.00	3710.28
14222	IV260600129	SO-26060174	738.32	738.32	0.00	738.32
14223	IV260600130	SO-26060153	738.32	738.32	0.00	738.32
14224	IV260600131	SO-26060089	1140.19	1140.19	0.00	1140.19
14225	IV260600132	SO-26060103	4943.93	4943.93	0.00	4943.93
14226	IV260600133	SO-26060096	3644.87	3644.87	0.00	3644.87
14227	IV260600134	SO-26060139	7588.79	7588.79	0.00	7588.79
14228	IV260600135	SO-26060140	738.32	738.32	0.00	738.32
14229	IV260600136	SO-26060145	738.32	738.32	0.00	738.32
14230	IV260600137	SO-26060141	1616.82	1616.82	0.00	1616.82
14231	IV260600138	SO-26060152	1750.47	1750.47	0.00	1750.47
14232	IV260600139	SO-26060142	2584.1	2584.10	0.00	2584.10
14233	IV260600140	SO-26060143	1350.47	1350.47	0.00	1350.47
14234	IV260600141	SO-26060027	4684.56	4684.56	0.00	4684.56
14235	IV260600142	SO-26060109	8121.5	8121.50	0.00	8121.50
14236	IV260600143	SO-26060079	1467.29	1467.29	0.00	1467.29
14237	IV260600144	SO-26060105	738.32	738.32	0.00	738.32
14238	IV260600145	SO-26060132	7607.48	7607.48	0.00	7607.48
14239	IV260600146	SO-26060146	5677.57	5677.57	0.00	5677.57
14240	IV260600147	SO-26060118	8121.5	8121.50	0.00	8121.50
14241	IV260600148	SO-26060198	981.31	981.31	0.00	981.31
14243	IV260600150	SO-26060195	2523.3599999999997	2523.36	0.00	2523.36
14244	IV260600151	SO-26060182	733.6500000000001	733.65	0.00	733.65
14245	IV260600152	SO-26060197	420.57	420.57	0.00	420.57
14246	IV260600153	SO-26060177	1588.79	1588.79	0.00	1588.79
14248	IV260600155	SO-26060178	4644.86	4644.86	0.00	4644.86
14249	IV260600156	SO-26060186	1471.97	1471.97	0.00	1471.97
14251	IV260600158	SO-26060180	1766.3600000000001	1766.36	0.00	1766.36
14252	IV260600159	SO-26060156	738.32	738.32	0.00	738.32
14253	IV260600160	SO-26060144	45.79	222.43	176.64	222.43
14290	IV260600161	SO-26060230	306.53999999999996	306.54	0.00	306.54
14293	IV260600162	SO-26060275	3009.35	3009.35	0.00	3009.35
14294	IV260600163	SO-0239612	115995	115995.00	0.00	115995.00
14295	IV260600164	SO-0228501	6710.28	6710.28	0.00	6710.28
14296	IV260600165	SO-26060243	1989.41	1989.41	0.00	1989.41
14297	IV260600166	SO-26060246	7469.16	7469.16	0.00	7469.16
14298	IV260600167	SO-26060158	3392.73	3392.73	0.00	3392.73
14299	IV260600168	SO-26060189	10260	10260.00	0.00	10260.00
14300	IV260600169	SO-26060229	1317.7600000000002	1317.76	0.00	1317.76
14301	IV260600170	SO-26060154	8453.27	8453.27	0.00	8453.27
14302	IV260600171	SO-26060155	738.32	738.32	0.00	738.32
14303	IV260600172	SO-26060203	16224.32	16224.32	0.00	16224.32
14304	IV260600173	SO-26060235	5578.5	5578.50	0.00	5578.50
14305	IV260600174	SO-26060232	2421.5	2421.50	0.00	2421.50
14306	IV260600175	SO-26060226	1514.02	1514.02	0.00	1514.02
14307	IV260600176	SO-26060221	18570.09	18570.09	0.00	18570.09
14308	IV260600177	SO-26060273	920	920.00	0.00	920.00
14309	IV260600178	SO-26060024	1995	1995.00	0.00	1995.00
14310	IV260600179	SO-26060204	18240	18240.00	0.00	18240.00
14311	IV260600180	SO-26060261	738.32	738.32	0.00	738.32
14312	IV260600181	SO-26060257	1015.89	1015.89	0.00	1015.89
14313	IV260600182	SO-0240732	14725	14725.00	0.00	14725.00
14314	IV260600183	SO-26060239	738.32	738.32	0.00	738.32
14315	IV260600184	SO-26060242	7588.79	7588.79	0.00	7588.79
14316	IV260600185	SO-26060253	4045.7999999999997	4045.80	0.00	4045.80
14317	IV260600186	SO-26060260	738.32	738.32	0.00	738.32
14318	IV260600187	SO-26060262	738.32	738.32	0.00	738.32
14320	IV260600188	SO-26060254	738.32	738.32	0.00	738.32
14321	IV260600189	SO-26060252	2588.79	2588.79	0.00	2588.79
14322	IV260600190	SO-26060202	1682.24	1682.24	0.00	1682.24
14323	IV260600191	SO-26060248	363.55	363.55	0.00	363.55
14324	IV260600192	SO-26060259	1170.09	1170.09	0.00	1170.09
14325	IV260600193	SO-26060223	644.86	644.86	0.00	644.86
14326	IV260600194	SO-26060269	3028.04	3028.04	0.00	3028.04
14327	IV260600195	SO-26060268	738.32	738.32	0.00	738.32
14328	IV260600196	SO-26060267	738.32	738.32	0.00	738.32
14329	IV260600197	SO-26060245	8610.28	8610.28	0.00	8610.28
14330	IV260600198	SO-26060263	447.66	447.66	0.00	447.66
14331	IV260600199	BSO-0001550	3000	3000.00	0.00	3000.00
14334	IV260600201	SO-26060228	1862	1862.00	0.00	1862.00
14335	IV260600202	SO-26060276	3756.0800000000004	3756.08	0.00	3756.08
14336	IV260600203	SO-26060285	1588.79	1588.79	0.00	1588.79
14337	IV260600204	SO-26060280	3261.6899999999996	3261.69	0.00	3261.69
14338	IV260600205	SO-26060288	733.6500000000001	733.65	0.00	733.65
14341	IV260600206	SO-26060278	8781.74	8781.74	0.00	8781.74
14342	IV260600207	SO-26060183	1682.2399999999998	1682.24	0.00	1682.24
14345	IV260600200	SO-26060181	9685.6	9685.60	0.00	9685.60
14348	IV260600208	SO-26060179	19960	19960.00	0.00	19960.00
14349	IV260600063	SO-26060031	32841.5	32841.50	0.00	32841.50
14350	IV260600001	SO-26050630	738.32	738.32	0.00	738.32
14351	IV260600007	SO-26050619	306.53999999999996	306.54	0.00	306.54
14352	IV260600070	SO-26060074	467.29	467.29	0.00	467.29
14393	IV260600209	SO-26060231	4072.64	4072.64	0.00	4072.64
14394	IV260600210	SO-26060234	3249.96	3249.96	0.00	3249.96
14395	IV260600211	SO-26060264	3732.69	3732.69	0.00	3732.69
14397	IV260600212	SO-26060240	23687.94	23687.94	0.00	23687.94
14398	IV260600213	SO-26060317	1611.39	1611.39	0.00	1611.39
14399	IV260600214	SO-26060316	809.09	809.09	0.00	809.09
14401	IV260600215	SO-26060306	12243	12243.00	0.00	12243.00
14402	IV260600216	SO-26060301	1057.94	1057.94	0.00	1057.94
14403	IV260600217	SO-26060305	2205.6	2205.60	0.00	2205.60
14404	IV260600218	SO-26060303	598.13	598.13	0.00	598.13
14406	IV260600219	SO-26060304	1803.74	1803.74	0.00	1803.74
14407	CN2606001	SO-0206851	10280.38	10280.38	0.00	10280.38
14409	IV260600220	SO-26060250	12242.99	12242.99	0.00	12242.99
14410	IV260600221	SO-26060302	3196.27	3196.27	0.00	3196.27
14411	IV260600222	SO-26060128	25822.43	29373.83	3551.40	29373.83
14412	IV260600223	SO-26060271	1018.69	1018.69	0.00	1018.69
14413	IV260600224	SO-26060274	3056.08	3056.08	0.00	3056.08
14414	IV260600225	SO-26060323	897.2	897.20	0.00	897.20
14415	IV260600226	SO-26060320	2271.03	2271.03	0.00	2271.03
14416	IV260600227	SO-26060284	5116.82	5116.82	0.00	5116.82
14418	IV260600228	SO-26060225	1205.6100000000001	1391.59	185.98	1391.59
14419	IV260600229	SO-26060222	1189.6000000000001	1372.90	183.30	1372.90
14420	IV260600230	SO-26060300	738.32	738.32	0.00	738.32
14421	IV260600231	SO-26060299	738.32	738.32	0.00	738.32
14422	IV260600232	SO-26060308	738.32	738.32	0.00	738.32
14444	IV260600233	SO-26060350	6527.1	6527.10	0.00	6527.10
14446	IV260600234	SO-26060312	38349.5	38349.50	0.00	38349.50
14447	IV260600235	SO-26060286	38304	38304.00	0.00	38304.00
14448	IV260600236	SO-26060349	1131	1131.00	0.00	1131.00
14449	IV260600237	SO-26060334	2137.5	2137.50	0.00	2137.50
14450	IV260600238	SO-26060343	1850.48	1850.48	0.00	1850.48
14451	IV260600239	SO-26060339	878.5	878.50	0.00	878.50
14453	IV260600241	SO-26060340	1859.81	1859.81	0.00	1859.81
14455	IV260600243	SO-26060335	420.56	420.56	0.00	420.56
14456	IV260600244	SO-26060194	10000	10000.00	0.00	10000.00
14457	IV260600245	SO-26060330	3514.02	3514.02	0.00	3514.02
14458	IV260600246	SO-26060192	7742.5	7742.50	0.00	7742.50
14460	IV260600247	SO-26060136	18420.5	18420.50	0.00	18420.50
14463	IV260600248	SO-26060361	13510	13510.00	0.00	13510.00
14464	IV260600249	SO-26060359	4220	4220.00	0.00	4220.00
14465	IV260600250	SO-26060191	4275	4275.00	0.00	4275.00
14466	IV260600251	SO-26060175	43358	43358.00	0.00	43358.00
14580	IV260500110	IV-2605656	2289.72	2289.72	0.00	2289.72
14600	IV260600253	SO-26060135	26230	52990.00	26760.00	52990.00
14601	IV260600254	SO-26060291	1397.8000000000002	1397.80	0.00	1397.80
14603	IV260600255	SO-26060341	11827.5	11827.50	0.00	11827.50
14605	IV260600256	SO-26060356	5320	5320.00	0.00	5320.00
14607	IV260600257	SO-26060354	4220	4220.00	0.00	4220.00
14608	IV260600258	SO-26060358	4220	4220.00	0.00	4220.00
14609	IV260600259	SO-26060346	1121.5	1121.50	0.00	1121.50
14610	IV260600260	SO-26060363	957.94	957.94	0.00	957.94
14611	IV260600261	SO-26060362	700.93	700.93	0.00	700.93
14613	IV260600262	SO-26060360	401.87	401.87	0.00	401.87
14614	IV260600263	SO-26060357	2205.6099999999997	2205.61	0.00	2205.61
14616	IV260600264	SO-26060325	1440.65	1440.65	0.00	1440.65
14617	IV260600265	SO-26060355	1522.43	1522.43	0.00	1522.43
14618	IV260600266	SO-26060353	1015.89	1015.89	0.00	1015.89
14736	IV260600252	SO-26060365	6600	6600.00	0.00	6600.00
14744	IV260600271	SO-26060501	15046.73	15046.73	0.00	15046.73
14753	IV260600272	SO-26060634	138007.35	138007.35	0.00	138007.35
14754	IV260600273	SO-26060641	3732.69	3732.69	0.00	3732.69
14758	IV260600274	SO-26060640	5772.41	5772.41	0.00	5772.41
14759	IV260600275	SO-26060638	2842.01	2842.01	0.00	2842.01
14761	IV260600276	SO-26060633	12000.43	12000.43	0.00	12000.43
14762	IV260600277	SO-26060594	16149.21	16149.21	0.00	16149.21
14763	IV260600278	SO-26060616	5456.99	5456.99	0.00	5456.99
14764	IV260600279	SO-26060554	2916.8	2916.80	0.00	2916.80
14765	IV260600280	SO-26060556	5010.91	5010.91	0.00	5010.91
14766	IV260600281	SO-26060558	1896.94	1896.94	0.00	1896.94
14767	IV260600282	SO-26060539	9913.04	9913.04	0.00	9913.04
14769	IV260600283	SO-26060538	14889.96	14889.96	0.00	14889.96
14770	IV260600284	SO-26060541	2032.92	2032.92	0.00	2032.92
14771	IV260600285	SO-26060543	1835.74	1835.74	0.00	1835.74
14792	IV260600286	SO-26060413	1401.87	1401.87	0.00	1401.87
14793	IV260600287	SO-26060499	10303.74	10303.74	0.00	10303.74
14794	IV260600288	SO-26060478	19831.78	19831.78	0.00	19831.78
14795	IV260600289	SO-0240714	1760	1760.00	0.00	1760.00
14796	IV260600290	SO-26060488	12780.37	12780.37	0.00	12780.37
14797	IV260600291	SO-26060307	93.46	4934.58	4841.12	4934.58
14798	IV260600292	SO-26060629	952.34	952.34	0.00	952.34
14808	IV260600301	SO-26060530	3129.33	3129.33	0.00	3129.33
14809	IV260600302	SO-26060531	3129.33	3129.33	0.00	3129.33
14810	IV260600303	SO-26060449	1768.22	1768.22	0.00	1768.22
14811	IV260600304	SO-26060448	784.11	784.11	0.00	784.11
14812	IV260600305	SO-26060455	1101.87	1101.87	0.00	1101.87
14813	IV260600306	SO-26060456	514.02	514.02	0.00	514.02
14814	IV260600307	SO-26060457	1690.65	1690.65	0.00	1690.65
14815	IV260600308	SO-26060451	1148.6	1148.60	0.00	1148.60
14816	IV260600309	SO-26060458	27770.4	27770.40	0.00	27770.40
14818	IV260600310	SO-26060490	46740	46740.00	0.00	46740.00
14819	IV260600311	SO-26060459	11343	11343.00	0.00	11343.00
14820	IV260600312	SO-26060613	401.87	401.87	0.00	401.87
14821	IV260600313	SO-26060224	570.09	570.09	0.00	570.09
14822	IV260600314	SO-26060420	1214.95	1214.95	0.00	1214.95
14823	IV260600315	SO-26060418	2738.32	2738.32	0.00	2738.32
14824	IV260600316	SO-26060416	1588.79	1588.79	0.00	1588.79
14825	IV260600317	SO-26060407	2046.73	2046.73	0.00	2046.73
14826	IV260600318	SO-26060404	1214.95	1214.95	0.00	1214.95
14827	IV260600319	SO-26060402	1401.8700000000001	1401.87	0.00	1401.87
14828	IV260600320	SO-26060427	1177.5700000000002	1177.57	0.00	1177.57
14830	IV260600322	SO-26060421	401.87	401.87	0.00	401.87
14831	IV260600323	SO-26060569	738.32	738.32	0.00	738.32
14833	IV260600324	SO-26060491	738.32	738.32	0.00	738.32
14834	IV260600325	SO-26060484	1140.19	1140.19	0.00	1140.19
14835	IV260600326	SO-26060525	680.98	680.98	0.00	680.98
14836	IV260600327	SO-26060521	10713.84	10713.84	0.00	10713.84
14837	IV260600328	SO-26060507	15794.39	15794.39	0.00	15794.39
14838	IV260600329	SO-26060509	15794.39	15794.39	0.00	15794.39
14839	IV260600330	SO-26060506	15046.73	15046.73	0.00	15046.73
14840	IV260600331	SO-26060481	2224.3	2224.30	0.00	2224.30
14841	IV260600332	SO-26060476	738.32	738.32	0.00	738.32
14842	IV260600333	SO-26060475	738.32	738.32	0.00	738.32
14843	IV260600334	SO-26060489	1140.19	1140.19	0.00	1140.19
14844	IV260600335	SO-26060570	1018.69	1018.69	0.00	1018.69
14846	IV260600336	SO-26060378	3869.16	3869.16	0.00	3869.16
14847	IV260600337	SO-26060428	1308.41	1308.41	0.00	1308.41
14848	IV260600338	SO-26060429	1308.41	1308.41	0.00	1308.41
14849	IV260600339	SO-26060463	1419.6299999999999	1419.63	0.00	1419.63
14850	IV260600340	SO-26060374	1822.43	1822.43	0.00	1822.43
14852	IV260600341	SO-26060469	1427.1000000000001	1427.10	0.00	1427.10
14853	IV260600342	SO-26060552	1115.89	1115.89	0.00	1115.89
14854	IV260600343	SO-26060470	1308.41	1308.41	0.00	1308.41
14855	IV260600344	SO-26060474	7588.79	7588.79	0.00	7588.79
14856	IV260600345	SO-26060559	1350.47	1350.47	0.00	1350.47
14861	IV260600346	SO-26060557	2668.2200000000003	2668.22	0.00	2668.22
14862	IV260600347	SO-26060567	2317.76	2317.76	0.00	2317.76
14864	IV260600348	SO-26060575	1242.06	1242.06	0.00	1242.06
14865	IV260600349	SO-26060573	810.2800000000001	810.28	0.00	810.28
14866	IV260600350	SO-26060479	1364.48	1364.48	0.00	1364.48
14867	IV260600351	SO-26060571	1149.53	1149.53	0.00	1149.53
14868	IV260600352	SO-26060519	5172.9	5172.90	0.00	5172.90
14869	IV260600353	SO-26060518	612.62	612.62	0.00	612.62
14870	IV260600354	SO-26060517	2075.7	2075.70	0.00	2075.70
14871	IV260600355	SO-26060516	4123.36	4123.36	0.00	4123.36
14873	IV260600356	SO-26060477	3214.96	3214.96	0.00	3214.96
14876	IV260600357	SO-26060526	8523.37	8523.37	0.00	8523.37
14877	IV260600358	SO-26060445	4000	4000.00	0.00	4000.00
14878	IV260600359	SO-26060453	1288.79	1288.79	0.00	1288.79
14879	IV260600360	SO-26060486	8060.75	8060.75	0.00	8060.75
14880	IV260600361	SO-26060550	4018.69	4018.69	0.00	4018.69
14881	IV260600362	SO-26060515	738.32	738.32	0.00	738.32
14882	IV260600363	SO-26060522	7869.16	7869.16	0.00	7869.16
14884	IV260600364	SO-26060511	15046.73	15046.73	0.00	15046.73
14885	IV260600365	SO-26060487	45.8	231.78	185.98	231.78
14886	IV260600366	SO-26060480	157.01	157.01	0.00	157.01
14887	IV260600367	SO-26060471	738.32	738.32	0.00	738.32
14888	IV260600368	SO-26060473	1140.19	1140.19	0.00	1140.19
14889	IV260600369	SO-26060568	1654.21	1654.21	0.00	1654.21
14890	IV260600370	SO-26060483	1186.92	1186.92	0.00	1186.92
14891	IV260600371	SO-26060472	738.32	738.32	0.00	738.32
14893	IV260600372	SO-26060512	7635.52	7635.52	0.00	7635.52
14903	IV260600373	SO-26060621	1182.24	1182.24	0.00	1182.24
14904	IV260600374	SO-26060597	121.5	121.50	0.00	121.50
14905	IV260600375	SO-26060462	4620.56	4620.56	0.00	4620.56
14906	IV260600376	SO-26060464	2817.76	2817.76	0.00	2817.76
14907	IV260600377	SO-26060468	2360.74	2360.74	0.00	2360.74
14908	IV260600378	SO-26060466	1434.5800000000002	1434.58	0.00	1434.58
14912	IV260600379	SO-26060467	597.1999999999999	597.20	0.00	597.20
14914	IV260600380	SO-26060564	4696.26	4696.26	0.00	4696.26
14915	IV260600381	SO-26060563	1394.86	1394.86	0.00	1394.86
14916	IV260600382	SO-26060344	27056	27056.00	0.00	27056.00
14917	IV260600383	SO-26060331	31233.649999999998	31233.65	0.00	31233.65
14919	IV260600384	SO-0212622	474000	474000.00	0.00	474000.00
14920	IV260600385	SO-26060431	2385.05	2385.05	0.00	2385.05
14922	IV260600386	SO-26060430	1308.41	1308.41	0.00	1308.41
14923	IV260600387	SO-26060392	7588.79	7588.79	0.00	7588.79
14924	IV260600388	SO-26060600	2514.02	2514.02	0.00	2514.02
14925	IV260600389	SO-26060426	531.78	531.78	0.00	531.78
14926	IV260600390	SO-26060388	2869.16	2869.16	0.00	2869.16
14927	IV260600391	SO-26060410	466.36	466.36	0.00	466.36
14928	IV260600392	SO-26060409	2668.2200000000003	2668.22	0.00	2668.22
14929	IV260600393	SO-26060408	5677.57	5677.57	0.00	5677.57
14930	IV260600394	SO-26060406	1167.29	1167.29	0.00	1167.29
14932	IV260600395	SO-26060405	971.03	971.03	0.00	971.03
14933	IV260600396	SO-26060419	1115.89	1115.89	0.00	1115.89
14934	IV260600397	SO-26060417	1661.68	1661.68	0.00	1661.68
14936	IV260600398	SO-26060415	11691.59	11691.59	0.00	11691.59
14937	IV260600399	SO-26060412	1271.03	1271.03	0.00	1271.03
14938	IV260600400	SO-26060383	3000	3000.00	0.00	3000.00
14939	IV260600401	SO-26060382	1769.16	1769.16	0.00	1769.16
14941	IV260600402	SO-26060379	943.9300000000001	943.93	0.00	943.93
14942	IV260600403	SO-26060377	1206.54	1206.54	0.00	1206.54
14943	IV260600404	SO-26060385	1115.89	1115.89	0.00	1115.89
14944	IV260600405	SO-26060386	4285.05	4285.05	0.00	4285.05
14945	IV260600406	SO-26060389	606.54	606.54	0.00	606.54
14953	IV260600407	SO-26060393	1308.41	1308.41	0.00	1308.41
14954	IV260600408	SO-26060399	9448.6	9448.60	0.00	9448.60
14955	IV260600409	SO-26060411	20677.57	20677.57	0.00	20677.57
14956	IV260600410	SO-26060403	6657.009999999999	6657.01	0.00	6657.01
14957	IV260600411	SO-26060395	3598.13	3598.13	0.00	3598.13
14958	IV260600412	SO-26060440	7588.79	7588.79	0.00	7588.79
14959	IV260600413	SO-26060391	13807.48	13807.48	0.00	13807.48
14960	IV260600414	SO-26060437	8079.4400000000005	8079.44	0.00	8079.44
